"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Jonathan Sanchez","-0.9","-0.4","0.0","-0.4","-5.9","-0.6","($4.1)","7507"
"Kirtley Baker","-4.2","-1.3","-2.3","-3.6","-7.5","-0.6","","1000462"
"Frank Mountain","-0.6","-0.4","0.5","0.1","-8.2","-0.6","","1009267"
"Cal Hogue","-0.6","0.1","0.0","0.1","-6.9","-0.7","","1005932"
"Charlie Heard","-2.2","-1.1","-0.4","-1.5","-9.3","-0.7","","1005549"
"Joe Trimble","-0.7","0.1","-0.1","0.0","-7.7","-0.7","","1013185"
"John Van Benschoten","-2.7","-0.9","-1.2","-2.0","-7.9","-0.7","($4.4)","2228"
"Billy O'Dell","-1.5","0.2","-0.9","-0.6","-7.4","-0.8","","1009724"
"Fred Osborne","-3.0","-0.7","-1.2","-1.9","-15.8","-1.1","","1009868"
"Jim Waugh","-2.2","-0.2","-0.6","-0.8","-15.3","-1.4","","1013687"
