"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Bobby Castillo","4.9","1.0","0.8","1.8","31.3","3.2","","1002057"
"LaTroy Hawkins","-0.5","-4.0","0.4","-3.6","33.5","3.1","","729"
"Darrell Jackson","2.3","-0.5","-0.2","-0.8","29.2","3.0","","1006294"
"Dolly Gray","-4.3","-2.7","-4.4","-7.2","25.4","2.9","","1004968"
"Boof Bonser","2.0","0.0","-0.9","-0.9","29.7","2.9","$15.7","2159"
"Carl Fischer","3.7","-0.5","1.3","0.9","30.3","2.8","","1004067"
"Tommy Thomas","3.1","0.9","-0.6","0.3","29.8","2.8","","1012996"
"Scott Diamond","3.0","-0.6","0.8","0.2","26.9","2.8","$18.5","5089"
"Marino Pieretti","-0.2","-0.9","-2.0","-3.0","25.6","2.8","","1010334"
"Brad Havens","1.7","-0.4","-0.5","-0.9","26.0","2.7","","1005507"
"Eric Erickson","2.1","2.0","-2.4","-0.4","26.1","2.5","","1003806"
"Barney Wolfe","0.7","-0.1","-1.8","-1.8","22.2","2.5","","1014185"
"Kevin Correia","2.9","-1.2","1.7","0.4","23.3","2.5","$18.4","1767"
"Jim Hughes","0.6","-0.9","-0.9","-1.8","23.5","2.4","","1006157"
"Spec Shea","3.7","1.2","0.3","1.5","21.2","2.2","","1011841"
"Beany Jacobson","-3.1","-1.9","-3.4","-5.2","19.1","2.2","","1006317"
"Roy Smith","2.8","-0.9","1.6","0.7","20.5","2.1","","1012202"
"Rich Robertson","2.6","0.7","-0.2","0.5","22.5","2.1","","1011045"
"Joe Haynes","-3.4","-1.3","-3.8","-5.1","18.0","1.7","","1005534"
"Julio Moreno","0.6","0.2","-0.5","-0.3","7.5","0.9","","1009165"
"Harry Courtney","-2.2","-0.8","-1.6","-2.4","1.2","0.2","","1002678"
"Hal Griggs","-3.4","-1.2","-1.9","-3.1","-2.8","-0.2","","1005056"
"Joe Engel","2.5","2.9","0.3","3.2","-7.2","-0.8","","1003777"
