"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Jorge Rubio","0.5","-0.3","0.8","0.6","-0.8","-0.1","","1011277"
"Chris Bootcheck","-0.4","-0.3","-0.1","-0.4","-1.6","-0.1","($0.2)","1842"
"Mike Bielecki","-0.2","0.4","-0.6","-0.2","-0.7","-0.1","","1000951"
"Al Fitzmorris","0.2","-0.2","0.5","0.3","-0.8","-0.1","","1004119"
"Dave Lemanczyk","0.0","-0.1","0.2","0.1","-0.9","-0.1","","1007511"
"Bob Meyer","0.0","-0.6","0.6","0.0","-0.8","-0.1","","1008821"
"Doug Rau","-0.4","-0.2","-0.1","-0.3","-1.0","-0.1","","1010717"
"Patrick Sandoval","-0.3","0.2","-0.4","-0.1","-1.3","-0.1","($0.9)","19447"
"Kent Mercker","0.1","-0.1","0.3","0.2","-1.3","-0.1","","439"
"Bob Ferris","-0.4","-0.2","0.0","-0.2","-1.3","-0.1","","1004011"
"Paul Foytack","0.1","0.1","0.1","0.2","-1.3","-0.1","","1004287"
"Mike Lee","0.3","-0.3","0.8","0.5","-1.5","-0.2","","1007462"
"Jesse Chavez","0.3","0.2","0.3","0.5","-1.8","-0.2","($1.4)","5448"
"John Lamb","-0.4","-0.1","0.0","-0.1","-2.3","-0.2","($1.7)","8493"
"Anthony Ortega","-0.5","-0.1","-0.2","-0.3","-2.4","-0.2","($1.4)","6745"
"Gary Nolan","-0.7","-0.3","-0.2","-0.5","-2.4","-0.2","","1009616"
"Ray Chadwick","-0.8","-0.4","-0.2","-0.5","-2.6","-0.2","","1002111"
"Kevin Gross","-0.5","-0.2","-0.1","-0.2","-2.9","-0.3","","1005088"
"Troy Scribner","-0.1","0.5","-0.3","0.2","-3.0","-0.3","($2.2)","15570"
"Bill Stoneman","-0.9","-0.9","0.3","-0.6","-2.7","-0.3","","1012560"
"Seth Etherton","0.5","0.6","0.3","0.8","-3.3","-0.3","","322"
"Jack Lazorko","0.2","0.8","-0.3","0.5","-3.0","-0.3","","1007420"
"George Witt","-0.6","-0.2","-0.1","-0.3","-3.0","-0.3","","1014172"
"Matt Harvey","-0.7","0.3","-0.7","-0.4","-3.2","-0.3","($2.3)","11713"
"Joe Magrane","0.1","0.6","-0.2","0.4","-4.7","-0.3","","1007973"
"Sean O'Sullivan","0.0","0.4","-0.1","0.3","-3.2","-0.3","($1.9)","9137"
"John Caneira","0.0","0.3","0.0","0.4","-3.6","-0.3","","1001912"
"Balor Moore","-0.5","0.0","-0.2","-0.2","-4.5","-0.4","","1009090"
"Andrew Lorraine","-0.5","0.1","-0.1","-0.1","-5.4","-0.4","","1583"
"Russ Springer","-1.7","-1.2","-0.1","-1.3","-4.9","-0.4","","1652"
"Trevor Cahill","-0.4","0.6","-0.5","0.0","-5.4","-0.5","($3.8)","6249"
"Jim Maloney","-0.4","-0.3","0.4","0.1","-4.6","-0.5","","1008039"
"Dillon Peters","-0.8","0.0","-0.2","-0.3","-5.8","-0.5","($4.1)","18790"
"Bill Harrelson","-0.9","0.1","-0.5","-0.4","-4.7","-0.5","","1005386"
"Nick Willhite","-0.1","0.1","0.4","0.5","-5.2","-0.5","","1013967"
"Dennis Springer","1.7","3.7","-1.4","2.3","-7.1","-0.6","","672"
"Sammy Ellis","-0.7","0.3","-0.4","-0.1","-5.8","-0.7","","1003753"
"Jose Suarez","-1.5","-0.6","-0.2","-0.8","-7.5","-0.7","($5.4)","19911"
"Tim Lincecum","-1.5","-1.3","0.5","-0.8","-7.7","-0.7","($5.7)","5705"
"John Farrell","-1.4","-0.2","-0.3","-0.5","-9.2","-0.8","","1003948"
"Julio Teheran","-1.2","0.1","-0.5","-0.4","-9.6","-0.8","($6.7)","6797"
