"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Ed Rakow","4.1","-1.2","0.3","-0.9","48.7","5.1","","1010661"
"Harry Kelley","4.7","-0.3","0.0","-0.3","55.2","5.0","","1006773"
"Jarrod Parker","6.6","2.1","-0.4","1.7","47.0","5.0","$33.6","4913"
"Lew Krausse","4.0","2.3","-3.2","-1.0","44.1","5.0","","1007146"
"Weldon Henley","3.8","1.7","-2.8","-1.1","43.9","4.9","","1005652"
"Tommy Milone","4.9","0.6","-0.6","0.0","46.7","4.9","$33.6","7608"
"Lum Harris","3.1","-0.4","-1.2","-1.6","43.0","4.7","","1005423"
"Cy Morgan","15.8","8.6","2.5","11.1","42.8","4.7","","1009174"
"Chris Codiroli","1.0","2.2","-5.8","-3.6","45.3","4.6","","1002388"
"Curt Young","7.0","4.0","-1.4","2.6","41.8","4.4","","1014368"
"Bob Hooper","0.9","-0.4","-3.0","-3.5","43.2","4.3","","1006001"
"Elmer Myers","-4.6","-3.0","-5.8","-8.9","35.8","4.2","","1009419"
"Bobby Witt","3.1","-1.0","0.0","-1.1","42.9","4.2","","1014170"
"Jimmy Haynes","1.5","-1.4","-1.2","-2.6","43.9","4.1","","329"
"Mike Oquist","1.2","-0.9","-1.9","-2.8","43.4","4.1","","1009828"
"Jing Johnson","2.5","-1.8","0.2","-1.6","35.4","4.0","","1006467"
"Dave Wickersham","3.8","-0.8","0.7","-0.1","37.1","4.0","","1013917"
"Bill Beckmann","2.6","0.5","-1.8","-1.3","40.4","3.9","","1000755"
"Ariel Prieto","1.7","-2.3","0.1","-2.2","41.7","3.9","","1010536"
"Bob Shawkey","4.7","-0.4","1.2","0.8","34.2","3.9","","1011825"
"Bill Dietrich","2.6","1.4","-2.6","-1.2","39.6","3.8","","1003289"
"Bud Thomas","2.3","-0.4","-1.0","-1.4","40.7","3.7","","1012966"
"Johnny Babich","3.9","1.8","-1.6","0.2","37.6","3.7","","1000396"
"Arnie Portocarrero","3.8","2.2","-2.2","0.1","34.8","3.7","","1010459"
"Storm Davis","3.8","-2.3","2.6","0.3","34.5","3.5","","1003080"
"Snake Wiltse","2.2","-1.3","0.0","-1.3","36.9","3.5","","1014117"
"Don Black","-0.1","-1.7","-1.9","-3.5","31.2","3.4","","1001010"
"Jose Rijo","0.0","-0.6","-2.7","-3.3","33.2","3.3","","349"
"Kendall Graveman","5.2","-0.5","2.4","1.9","32.4","3.3","$26.1","15514"
"Bill Krueger","-1.8","-1.3","-3.7","-5.0","31.5","3.2","","1007175"
"Art Ditmar","1.0","-0.9","-1.2","-2.2","31.2","3.2","","1003328"
"Chick Fraser","2.9","0.6","-0.5","0.1","31.0","2.8","","1004305"
"Carl Scheib","3.9","1.2","-0.1","1.1","28.0","2.8","","1011538"
"Moe Drabowsky","3.0","0.2","0.1","0.3","24.8","2.7","","1003474"
"Dave Hamilton","3.4","-0.2","0.9","0.7","24.7","2.7","","1005271"
"Roy Moore","1.1","-1.7","0.1","-1.6","27.6","2.6","","1009126"
"Dave Keefe","1.5","0.1","-1.2","-1.1","24.8","2.6","","1006740"
"John O'Donoghue","0.6","-1.6","-0.3","-1.9","23.1","2.5","","1009732"
"Nels Potter","-2.4","-1.6","-3.1","-4.6","22.9","2.2","","1010471"
"Bill Shores","5.0","1.7","1.3","2.9","23.3","2.1","","1011926"
"Lynn Nelson","1.9","0.7","-0.4","0.3","17.9","1.6","","1009505"
"Marion Fricano","1.5","1.1","-1.1","0.0","14.9","1.5","","1004348"
"Sugar Cain","4.6","1.5","1.7","3.2","15.8","1.4","","1001822"
"Weldon Wyckoff","-0.2","0.5","-2.2","-1.6","12.3","1.4","","1014305"
"Boardwalk Brown","2.5","2.3","-1.2","1.1","12.8","1.4","","1001494"
"Rube Bressler","-0.1","-0.7","-0.7","-1.4","9.9","1.2","","1001398"
"Todd Van Poppel","-0.7","1.2","-1.9","-0.6","-2.2","-0.1","","1284"
"Byron Houck","2.0","3.0","-0.6","2.3","-3.1","-0.4","","1006048"
"Jerry Walker","-0.1","1.1","0.1","1.1","-12.9","-1.2","","1013523"
