"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Marcus Stroman","1.1","-0.6","0.8","0.2","9.0","0.9","$7.1","13431"
"Roy Lee Jackson","-0.4","-0.9","-0.4","-1.3","7.7","0.9","","1006311"
"Charlie Puleo","0.1","-0.6","-0.1","-0.8","7.9","0.9","","1010565"
"Jorge Sosa","0.8","0.7","-0.8","-0.1","9.0","0.9","$4.9","1228"
"Nelson Figueroa","0.7","0.0","-0.1","-0.1","8.7","0.9","$5.5","683"
"Harry Parker","0.4","-0.3","-0.2","-0.5","8.0","0.9","","1010003"
"Jenrry Mejia","-0.1","-0.9","0.0","-0.9","7.1","0.8","$6.2","8476"
"Jason Jacome","0.9","-0.5","0.6","0.0","7.9","0.8","","1006330"
"Ray Burris","1.0","0.0","0.2","0.2","7.3","0.8","","1001729"
"Tim Leary","-0.7","-1.1","-0.4","-1.5","6.7","0.8","","1007438"
"Robert Person","0.9","0.7","-0.6","0.2","7.6","0.7","","966"
"Bob Miller","-0.6","0.4","-1.7","-1.3","7.2","0.7","","1008877"
"Octavio Dotel","0.4","0.5","-0.8","-0.3","7.5","0.7","","555"
"Matt Ginter","0.2","-0.1","-0.3","-0.4","6.8","0.7","$2.8","233"
"Mauro Gozzo","-0.5","0.0","-1.1","-1.1","6.0","0.6","","1004906"
"John Thomson","-0.6","-0.1","-1.1","-1.2","5.9","0.6","$2.3","453"
"Bob Apodaca","0.3","0.7","-0.9","-0.2","5.3","0.6","","1000279"
"Pedro Astacio","0.2","0.1","-0.5","-0.4","5.5","0.6","$2.1","862"
"Hideo Nomo","0.3","0.5","-0.7","-0.3","5.9","0.6","","666"
"John Pacella","-0.6","-0.8","-0.4","-1.2","5.1","0.6","","1009933"
"Tim Redding","0.5","1.0","-1.1","-0.1","5.8","0.6","$3.6","573"
"Danny Frisella","0.8","0.0","0.2","0.2","4.9","0.6","","1004365"
"Rick Anderson","0.8","0.4","-0.1","0.3","4.8","0.5","","1000241"
"Andy Hassler","0.5","0.0","0.0","0.0","4.7","0.5","","1005480"
"Dicky Gonzalez","-0.4","-0.4","-0.6","-0.9","5.0","0.5","","777"
"David Peterson","1.0","0.5","-0.1","0.5","5.0","0.5","$3.8","20302"
"Juan Berenguer","-0.1","-0.5","-0.1","-0.6","4.2","0.5","","1000865"
"Greg Harris","-0.1","0.0","-0.5","-0.5","4.1","0.5","","1005415"
"Dock Ellis","-1.4","-1.4","-0.4","-1.8","4.2","0.4","","1003747"
"Scott Holman","0.8","0.8","-0.4","0.3","4.0","0.4","","1005972"
"Gabriel Ynoa","0.3","-0.3","0.1","-0.2","3.8","0.4","$3.3","12938"
"Mike Birkbeck","1.2","0.4","0.4","0.8","3.4","0.4","","1000981"
"Hisanori Takahashi","0.2","-0.4","0.2","-0.1","3.6","0.4","$2.2","10091"
"Carl Willey","2.9","2.0","0.5","2.6","3.2","0.4","","1013965"
"Bob Myrick","-0.6","-0.6","-0.4","-0.9","3.0","0.3","","1009430"
"Jason Middlebrook","0.3","0.1","-0.1","-0.1","3.0","0.3","$1.2","1048"
"Charlie Williams","-0.8","-0.3","-0.8","-1.1","2.8","0.3","","1013980"
"Brian Bannister","0.9","0.6","0.0","0.6","3.2","0.3","$1.5","5718"
"Miguel Batista","0.7","0.3","0.0","0.4","2.7","0.3","$2.4","46"
"Jeremy Griffiths","-0.5","-0.5","-0.3","-0.8","3.0","0.3","$1.3","1731"
"John Candelaria","-0.1","-0.3","0.0","-0.4","2.8","0.3","","1001909"
"Aaron Heilman","-0.8","-0.4","-0.7","-1.1","2.4","0.3","$1.5","1751"
"Dick Rusteck","0.3","-0.1","0.1","0.1","2.4","0.3","","1011325"
"Doug Linton","0.0","-0.5","0.3","-0.2","2.6","0.3","","1662"
"Willie Blair","0.8","0.6","0.0","0.6","2.5","0.3","","1001033"
"Bob Friend","-0.5","-0.1","-0.6","-0.7","2.3","0.2","","1004355"
"Bill Latham","0.1","-0.1","-0.1","-0.2","2.1","0.2","","1007372"
"Bruce Chen","0.0","0.3","-0.4","-0.2","2.5","0.2","","769"
"Tony Castillo","0.7","0.0","0.4","0.5","2.0","0.2","","1002069"
"Pat Misch","0.4","0.4","-0.2","0.1","1.7","0.2","$1.2","5909"
"Mike Bacsik","-0.1","-0.6","0.3","-0.3","2.1","0.2","$0.8","863"
"Brent Gaff","-0.4","-0.4","-0.2","-0.6","1.8","0.2","","1004423"
"Brandon Knight","0.0","-0.3","0.1","-0.2","1.8","0.2","$1.1","831"
"Les Rohr","0.1","-0.2","0.1","-0.1","1.5","0.2","","1011148"
"Brian Lawrence","-0.3","-0.6","0.2","-0.5","1.9","0.2","$1.0","1045"
"Gerry Arrigo","0.3","-0.1","0.3","0.2","1.6","0.2","","1000326"
"Reid Cornelius","0.0","0.0","-0.1","-0.2","1.7","0.2","","1002634"
"Dave Telgheder","0.3","-0.2","0.4","0.2","1.7","0.2","","1012906"
"Dave Williams","-0.4","-0.7","0.1","-0.5","1.5","0.2","$0.7","1013"
"Carlos Torres","0.3","0.0","0.2","0.2","1.2","0.2","$1.2","7624"
"Walker Lockett","-0.5","-0.4","-0.2","-0.6","1.6","0.2","$1.2","13804"
"Tom Gorman","-0.8","0.0","-0.9","-0.9","0.6","0.2","","1004887"
"Tyler Pill","-0.2","-0.1","-0.2","-0.4","1.5","0.1","$1.2","12751"
"Tom Parsons","-0.4","-0.8","0.3","-0.6","1.2","0.1","","1010031"
"Chris Schwinden","-0.6","-0.1","-0.7","-0.8","0.2","0.1","$1.5","7851"
"Joe Crawford","0.5","0.3","0.0","0.4","1.4","0.1","","1002743"
"Tyler Yates","-0.5","-0.4","-0.2","-0.6","1.2","0.1","$0.5","1527"
"Bobby Parnell","-1.0","-0.5","-0.6","-1.1","1.1","0.1","$0.7","9926"
"Allen Watson","0.6","0.2","0.2","0.5","1.1","0.1","","1013675"
"Warren Spahn","0.0","-0.3","0.2","-0.1","0.7","0.1","","1012299"
"Sherman Jones","-0.7","-0.3","-0.5","-0.7","0.7","0.1","","1006592"
"Michael Wacha","-0.5","-0.6","0.0","-0.6","0.8","0.1","$0.6","14078"
"Buzz Capra","0.0","-0.2","0.2","-0.1","0.5","0.1","","1001928"
"Darrell Sutherland","-1.1","-0.2","-1.0","-1.2","0.5","0.1","","1012737"
"Juan Acevedo","0.4","0.2","0.2","0.3","0.6","0.1","","458"
"Jackson Todd","-0.6","0.0","-0.7","-0.6","0.5","0.1","","1013096"
"Jesse Orosco","-0.2","-0.1","-0.2","-0.3","0.5","0.0","","667"
"Neil Allen","-0.4","-0.5","0.0","-0.5","0.3","0.0","","1000154"
