"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Doyle Alexander","3.3","2.2","-2.1","0.0","29.5","3.2","","1000122"
"Bill Kennedy","0.8","-2.4","0.1","-2.3","32.0","3.2","","1006834"
"Bill Bayne","2.9","1.1","-1.4","-0.3","32.3","3.2","","1000701"
"Tom Zachary","4.4","-0.4","1.7","1.3","32.2","3.1","","1014405"
"Arthur Rhodes","0.1","-1.1","-1.9","-3.0","29.3","3.1","","1097"
"Al Widmar","1.1","-1.8","-0.1","-1.9","30.5","3.0","","1013921"
"Ed Siever","2.3","-0.9","0.3","-0.7","28.0","3.0","","1011958"
"Brian Matusz","0.0","-2.1","-0.9","-3.0","27.4","2.9","$16.4","2646"
"Willie Sudhoff","7.8","4.0","0.9","4.9","29.2","2.9","","1012670"
"Jerry Walker","5.4","1.2","1.2","2.5","27.3","2.9","","1013523"
"Bob Groom","6.2","2.2","1.1","3.3","25.0","2.9","","1005081"
"Jeff Ballard","1.3","-1.2","-0.4","-1.6","27.0","2.9","","1000490"
"Jack Ogden","4.5","1.4","0.3","1.7","29.3","2.8","","1009743"
"Ken Dixon","2.6","1.1","-1.1","0.0","25.9","2.7","","1003331"
"Brad Bergesen","2.4","0.3","-0.7","-0.3","26.7","2.7","$17.2","8375"
"Arnie Portocarrero","1.3","1.4","-2.8","-1.4","24.8","2.6","","1010459"
"Jake Arrieta","-0.1","-0.3","-2.3","-2.5","23.3","2.4","$15.3","4153"
"Pete Harnisch","2.0","0.2","-0.5","-0.4","22.5","2.3","","1005374"
"Vern Kennedy","1.9","-1.1","1.0","-0.1","21.6","2.0","","1006851"
"Bert Gallia","1.2","-0.7","0.0","-0.7","17.1","1.9","","1004460"
"Grover Lowdermilk","0.5","0.4","-1.6","-1.2","15.5","1.8","","1007784"
"Bill James","1.7","-0.2","0.1","-0.1","15.4","1.7","","1006343"
"Bill Grahame","0.4","-0.5","-0.6","-1.2","12.5","1.5","","1004925"
"Tommy Byrne","2.4","1.1","0.0","1.0","13.8","1.4","","1001801"
"Ernie Koob","2.9","-0.1","1.7","1.6","12.0","1.4","","1007100"
"Jim Walkup","-3.4","-3.8","-0.8","-4.6","13.5","1.2","","1013541"
"Bill Bailey","-3.1","-1.0","-3.3","-4.3","9.1","1.2","","1000418"
"Tex Shirley","1.4","-0.3","0.7","0.4","9.4","1.0","","1011914"
"Bill Dineen","3.3","1.5","1.0","2.4","7.0","0.8","","1003317"
"Walt Leverenz","1.2","1.9","-0.9","1.0","2.4","0.3","","1007566"
"Dave Johnson","1.4","0.2","1.5","1.7","-3.5","-0.3","","1006442"
