"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Happy Townsend","0.0","-0.2","-0.1","-0.3","2.5","0.3","","1013145"
"Dennis Cook","0.5","0.4","-0.2","0.2","2.8","0.3","","8"
"Martin Glendon","0.7","0.5","-0.1","0.4","2.6","0.3","","1004776"
"Ray Benge","0.7","0.3","0.1","0.4","2.7","0.3","","1000831"
"Jack Bracken","-1.7","-0.9","-1.0","-1.9","3.0","0.3","","1001295"
"John Butcher","-0.3","-1.0","0.4","-0.5","2.6","0.3","","1001762"
"Terry Mulholland","0.3","-0.3","0.4","0.1","1.8","0.2","$0.9","665"
"Jack Armstrong","-1.4","-0.7","-0.9","-1.6","2.5","0.2","","1000313"
"Brian Slocum","0.5","-0.1","0.4","0.3","2.4","0.2","$1.2","4705"
"Bob Groom","-2.1","-1.7","-0.6","-2.3","2.1","0.2","","1005081"
"Bob Ojeda","0.5","0.0","0.3","0.3","2.5","0.2","","1009756"
"Roxie Lawson","-0.1","-0.3","0.0","-0.3","2.6","0.2","","1007406"
"Lefty George","-1.2","-1.2","-0.2","-1.4","2.2","0.2","","1004621"
"Hal McKain","0.1","-0.5","0.4","-0.1","2.2","0.2","","1008578"
"Willie Underhill","-0.5","-0.4","-0.3","-0.7","2.1","0.2","","1013282"
"Ken Penner","0.0","-0.2","0.0","-0.2","1.7","0.2","","1010158"
"Mike Jeffcoat","0.2","-0.1","0.1","0.0","1.9","0.2","","1006378"
"Lucky Wright","-0.3","0.4","-0.9","-0.5","1.6","0.2","","1014287"
"Ross Grimsley","-0.3","-0.1","-0.4","-0.5","2.0","0.2","","1005071"
"Jamie Easterly","-0.6","-0.6","-0.1","-0.8","1.8","0.2","","1003639"
"Clarence Garrett","0.0","0.2","-0.4","-0.2","1.6","0.2","","1004544"
"Charlie Gassaway","0.1","-0.3","0.2","0.0","1.6","0.2","","1004562"
"Jerry Upp","0.3","-0.2","0.3","0.1","1.4","0.2","","1013290"
"Ed Wojna","-0.1","-0.1","-0.2","-0.3","1.6","0.2","","1014183"
"Dewey Metivier","0.2","0.2","-0.1","0.1","1.8","0.2","","1008808"
"Terry Clark","-0.2","0.0","-0.4","-0.4","1.8","0.2","","1002312"
"Bob Kuzava","0.1","0.1","-0.2","0.0","1.5","0.2","","1007226"
"Sarge Connally","0.4","0.6","-0.4","0.3","1.7","0.2","","1002513"
"Steve Dunning","2.0","-0.1","2.0","1.8","1.6","0.1","","1003572"
"Jeff D'Amico","-0.7","-0.4","-0.5","-0.8","1.5","0.1","$0.6","871"
"Mike Naymick","0.3","-0.3","0.4","0.1","1.5","0.1","","1009471"
"Don Black","1.3","0.8","0.3","1.1","1.1","0.1","","1001010"
"Pat Paige","-0.2","-0.2","-0.1","-0.3","1.3","0.1","","1009961"
"Bill Lattimore","-0.5","-0.1","-0.6","-0.6","1.1","0.1","","1007378"
"Bert Brenner","0.0","0.0","-0.1","-0.1","1.2","0.1","","1001388"
"Scott Lewis","0.6","0.4","0.1","0.5","1.2","0.1","$0.8","7322"
"Wynn Hawkins","1.4","-0.1","1.4","1.3","1.2","0.1","","1005515"
"Joe Krakauskas","0.0","0.1","-0.2","-0.1","1.2","0.1","","1007134"
"Sid Monge","-0.3","0.0","-0.5","-0.5","1.1","0.1","","1009053"
"Bill Kennedy","-0.7","-0.5","-0.3","-0.8","1.1","0.1","","1006834"
"Barry Moore","0.9","0.0","0.8","0.7","1.1","0.1","","1009089"
"Jesse Stovall","1.6","0.9","0.6","1.6","0.9","0.1","","1012585"
"Jason Jacome","0.0","0.0","-0.1","-0.1","0.6","0.1","","1006330"
"Tom Hilgendorf","0.7","-0.5","1.2","0.7","0.7","0.1","","1005806"
"Bugs Reisigl","-0.1","0.1","-0.2","-0.2","0.8","0.1","","1010815"
"Dick Tomanek","-0.3","-0.3","-0.1","-0.4","0.7","0.1","","1013106"
"Mike York","-0.7","-0.6","-0.2","-0.8","0.7","0.1","","1014353"
"Gus Dorner","-0.1","0.0","-0.2","-0.1","0.7","0.1","","1003414"
"Ray Poat","-0.1","-0.3","0.1","-0.2","0.6","0.1","","1010402"
"Les Barnhart","-0.1","-0.2","0.0","-0.2","0.8","0.1","","1000579"
"Mike Kilkenny","0.6","-0.2","0.7","0.5","0.5","0.1","","1006901"
"Bob Muncrief","0.6","0.0","0.5","0.6","0.6","0.1","","1009317"
"Cal Dorsett","-0.7","-0.5","-0.2","-0.7","0.4","0.0","","1003417"
"Carl Sitton","0.0","-0.2","0.2","0.0","0.3","0.0","","1012023"
"Bill James","-0.4","-0.2","-0.2","-0.4","0.3","0.0","","1006343"
"Bruce Ellingsen","0.1","-0.1","0.2","0.1","0.2","0.0","","1003731"
"Bill Zuber","0.0","0.0","-0.1","-0.1","0.3","0.0","","1014460"
"Steve Karsay","0.6","0.3","0.2","0.6","0.2","0.0","","829"
"Ricardo Rodriguez","-0.2","0.6","-0.9","-0.3","0.2","0.0","$0.0","1585"
