"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Randy Wells","6.3","-0.2","1.2","1.0","51.2","5.4","$33.1","4535"
"Hi Bithorn","5.3","-1.9","1.9","0.0","47.1","5.3","","1000998"
"Speed Martin","2.2","-2.6","-0.5","-3.0","48.5","5.2","","1008197"
"Travis Wood","4.7","3.0","-3.4","-0.4","46.5","5.1","$37.6","9884"
"Howie Pollet","2.9","-0.6","-1.5","-2.1","47.1","4.9","","1010423"
"Gus Krock","7.9","0.8","2.3","3.1","49.4","4.8","","1007169"
"Lew Richie","11.1","4.1","2.4","6.4","47.0","4.7","","1010923"
"Lynn McGlothen","3.7","-3.2","2.1","-1.0","43.2","4.7","","1008534"
"Sam Jones","5.4","1.6","-0.9","0.8","45.4","4.6","","1006590"
"George Pearce","2.0","0.5","-3.0","-2.5","40.5","4.5","","1010104"
"George Van Haltren","2.6","-2.6","0.7","-1.9","51.8","4.5","","1013357"
"Mike Harkey","5.0","0.4","0.1","0.5","42.3","4.5","","1005363"
"Steve Stone","4.2","0.5","-0.8","-0.2","40.8","4.4","","1012573"
"George Bradley","3.0","0.6","-2.0","-1.4","50.5","4.4","","1001307"
"Danny Friend","5.9","1.8","-0.2","1.6","54.0","4.3","","1004356"
"Rich Hill","5.3","2.3","-1.3","1.0","43.8","4.3","$23.1","4806"
"Frank Dwyer","4.7","0.7","-0.3","0.4","51.2","4.3","","1003607"
"Jamie Moyer","3.6","-2.9","2.3","-0.6","40.1","4.3","","1091"
"John Tener","4.1","0.9","-1.0","-0.1","50.5","4.2","","1012912"
"Tom Hughes","1.7","-2.3","-0.2","-2.5","42.7","4.2","","1006163"
"Moe Drabowsky","6.4","2.2","0.3","2.4","37.0","4.0","","1003474"
"Rich Nye","4.3","0.6","-0.3","0.3","33.6","4.0","","1009667"
"Bob Smith","5.2","0.8","0.4","1.3","39.5","3.9","","1012100"
"Walter Thornton","2.3","-1.3","-0.2","-1.5","43.3","3.9","","1013041"
"Harry McIntire","3.3","1.1","-1.6","-0.5","36.3","3.8","","1008571"
"Hal Carlson","5.4","0.7","0.9","1.6","39.8","3.8","","1001961"
"Cal Koonce","5.1","-0.7","2.1","1.4","34.2","3.7","","1007101"
