"Name","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","RAR","WAR","Dollars","playerid"
"Mike O'Connor","0.1","1.2","-1.3","-0.1","1.6","0.2","$0.6","6457"
"Jimmy Jones","-0.7","-0.3","-0.6","-0.8","1.8","0.2","","1006569"
"Brad Peacock","0.8","0.6","0.0","0.6","1.4","0.2","$1.2","5401"
"Jeff Shaw","0.4","0.1","0.2","0.3","1.5","0.1","","1011823"
"Dave McNally","-0.4","-0.3","-0.2","-0.5","1.3","0.1","","1008655"
"John Strohmayer","-0.2","-0.4","0.1","-0.3","1.2","0.1","","1012626"
"Mark Leiter","0.9","0.7","0.1","0.8","1.4","0.1","","1007501"
"Santo Alcala","-0.7","-0.7","-0.1","-0.8","1.2","0.1","","1000110"
"Tim Drew","0.0","0.1","-0.2","-0.1","0.2","0.1","$0.4","380"
"Ross Ohlendorf","0.7","0.4","0.2","0.6","1.1","0.1","$0.9","8268"
"Ugueth Urbina","0.8","0.3","0.3","0.7","0.9","0.1","","216"
"Micah Bowie","0.4","0.4","-0.1","0.3","1.1","0.1","$0.6","1561"
"Mudcat Grant","-0.4","-0.3","-0.1","-0.4","0.8","0.1","","1004952"
"Fred Holdsworth","0.4","0.5","-0.1","0.3","0.8","0.1","","1005944"
"Matt Chico","0.3","0.0","0.3","0.3","0.5","0.1","$0.3","6068"
"Billy Traber","-1.1","-0.4","-0.7","-1.1","0.6","0.1","$0.3","410"
"Felipe Lira","-0.8","-0.5","-0.3","-0.8","0.5","0.0","","1007649"
"J.D. Martin","0.6","0.5","0.1","0.6","0.3","0.0","$0.2","3685"
"Tyler Clippard","0.2","-0.1","0.2","0.1","0.3","0.0","$0.2","5640"
"Lary Sorensen","-0.3","0.0","-0.3","-0.3","0.2","0.0","","1012279"
"Claudio Vargas","0.4","0.7","-0.3","0.4","-0.4","0.0","($0.1)","1695"
"Ted Lilly","0.3","0.2","0.1","0.3","0.0","0.0","","833"
"Jason Simontacchi","-0.8","-0.8","0.0","-0.8","0.0","0.0","$0.0","1181"
"Jacob Turner","0.1","0.1","0.0","0.1","0.0","0.0","$0.0","10185"
"Jonathan Hurst","-0.1","0.0","-0.1","-0.1","-0.2","0.0","","1006226"
"Collin Balester","-0.7","0.0","-0.7","-0.6","-0.7","0.0","($0.3)","6883"
"Ubaldo Heredia","0.0","0.0","0.0","0.1","-0.3","0.0","","1005687"
"Larry Landreth","-0.4","-0.4","0.0","-0.3","-0.3","0.0","","1007304"
"Randy Lerch","-0.4","-0.2","-0.2","-0.4","-1.0","0.0","","1007551"
"Shairon Martis","0.0","1.3","-1.2","0.0","-0.7","-0.1","($0.3)","6781"
"John O'Donoghue","0.0","0.2","-0.2","0.0","-0.6","-0.1","","1009732"
"Levale Speigner","-1.3","-0.7","-0.5","-1.2","-1.1","-0.1","($0.6)","5717"
"Yunesky Maya","-0.3","-0.2","-0.1","-0.2","-1.1","-0.1","($0.8)","11420"
