ateam,aseason
Indians,1963
Indians,1964
White Sox,1965
White Sox,1966
White Sox,1967
White Sox,1968
White Sox,1969
White Sox,1970
White Sox,1971
Dodgers,1972
Dodgers,1973
Dodgers,1974
Dodgers,1976
Dodgers,1977
Dodgers,1978
Yankees,1979
Yankees,1980
Yankees,1981
Yankees,1982
Angels,1982
Angels,1983
Angels,1984
Angels,1985
Athletics,1985
Yankees,1986
Yankees,1987
Yankees,1988
Yankees,1989
