teamId,ateam,aseason
17.0,Cubs,1986
17.0,Cubs,1987
17.0,Cubs,1988
13.0,Rangers,1989
13.0,Rangers,1990
28.0,Cardinals,1991
2.0,Orioles,1993
2.0,Orioles,1994
2.0,Orioles,1995
3.0,Red Sox,1996
11.0,Mariners,1996
11.0,Mariners,1997
11.0,Mariners,1998
11.0,Mariners,1999
11.0,Mariners,2000
11.0,Mariners,2001
11.0,Mariners,2002
11.0,Mariners,2003
11.0,Mariners,2004
11.0,Mariners,2005
11.0,Mariners,2006
26.0,Phillies,2006
26.0,Phillies,2007
26.0,Phillies,2008
26.0,Phillies,2009
26.0,Phillies,2010
19.0,Rockies,2012
