ateam,aseason
Red Sox,1908
Red Sox,1909
Red Sox,1910
Red Sox,1911
Red Sox,1912
Red Sox,1913
Red Sox,1914
Red Sox,1915
Indians,1917
Indians,1919
Indians,1920
