ateam,aseason
Brewers,1976
Brewers,1977
Brewers,1978
Brewers,1979
Brewers,1980
Brewers,1981
Brewers,1982
Brewers,1983
Brewers,1984
Brewers,1985
Athletics,1986
Athletics,1987
