teamId,ateam,aseason
28.0,Cardinals,1965
28.0,Cardinals,1966
28.0,Cardinals,1967
28.0,Cardinals,1968
28.0,Cardinals,1969
28.0,Cardinals,1970
28.0,Cardinals,1971
26.0,Phillies,1972
26.0,Phillies,1973
26.0,Phillies,1974
26.0,Phillies,1975
26.0,Phillies,1976
26.0,Phillies,1977
26.0,Phillies,1978
26.0,Phillies,1979
26.0,Phillies,1980
26.0,Phillies,1981
26.0,Phillies,1982
26.0,Phillies,1983
26.0,Phillies,1984
26.0,Phillies,1985
26.0,Phillies,1986
30.0,Giants,1986
4.0,White Sox,1986
5.0,Indians,1987
8.0,Twins,1987
8.0,Twins,1988
