ateam,aseason
Orioles,1975
Orioles,1976
Orioles,1977
Orioles,1978
Orioles,1979
Orioles,1980
Orioles,1981
Orioles,1982
Orioles,1983
Orioles,1984
Orioles,1985
Orioles,1986
Orioles,1987
Blue Jays,1987
Blue Jays,1988
Blue Jays,1989
Blue Jays,1990
Orioles,1991
Orioles,1992
