ateam,aseason
Cubs,1948
Cubs,1949
Cubs,1950
Cubs,1951
Cubs,1952
Cubs,1953
Cubs,1954
Cubs,1955
Cubs,1956
Cubs,1957
Braves,1958
Braves,1959
Braves,1960
White Sox,1960
